Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"688256","CAMBRICON TECHNOLOGIES CORPORATION","Information Technology","Equity","4,209,829.84","0.03","4,209,829.84","52,113.00","80.78","China","Shanghai Stock Exchange","USD","7.33","CNY","-"
"TIMS3","TIM SA","Communication","Equity","4,210,172.26","0.03","4,210,172.26","1,716,363.00","2.45","Brazil","XBSP","USD","6.04","BRL","-"
"3323","CHINA NATIONAL BUILDING MATERIAL L","Materials","Equity","4,207,354.88","0.03","4,207,354.88","9,148,000.00","0.46","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"INDF","INDOFOOD SUKSES MAKMUR","Consumer Staples","Equity","4,204,543.84","0.03","4,204,543.84","9,053,600.00","0.46","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"532483","CANARA BANK LTD","Financials","Equity","4,197,508.25","0.03","4,197,508.25","3,714,203.00","1.13","India","Bse Ltd","USD","86.61","INR","-"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Equity","4,178,161.37","0.03","4,178,161.37","2,978,260.00","1.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"9945","RUENTEX DEVELOPMENT LTD","Real Estate","Equity","4,162,783.95","0.03","4,162,783.95","3,282,916.00","1.27","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"LTM","LATAM AIRLINES GROUP SA","Industrials","Equity","4,142,090.43","0.03","4,142,090.43","304,392,323.00","0.01","Chile","Santiago Stock Exchange","USD","1,008.25","CLP","-"
"4190","JARIR MARKETING","Consumer Discretionary","Equity","4,138,063.44","0.03","4,138,063.44","1,196,149.00","3.46","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"6886","HUATAI SECURITIES LTD H","Financials","Equity","4,138,355.46","0.03","4,138,355.46","2,568,800.00","1.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ALR","ALIOR BANK SA","Financials","Equity","4,136,359.94","0.03","4,136,359.94","189,290.00","21.85","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","4.13","PLN","-"
"ADRO","ALAMTRI RESOURCES INDONESIA","Energy","Equity","4,115,035.75","0.03","4,115,035.75","28,059,400.00","0.15","Indonesia","Indonesia Stock Exchange","USD","16,365.00","IDR","-"
"316","ORIENT OVERSEAS (INTERNATIONAL) LT","Industrials","Equity","4,108,614.52","0.03","4,108,614.52","297,500.00","13.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"358","JIANGXI COPPER LTD H","Materials","Equity","4,098,109.57","0.03","4,098,109.57","2,469,000.00","1.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"1605","WALSIN LIHWA CORP","Industrials","Equity","4,087,721.06","0.03","4,087,721.06","5,776,406.00","0.71","Taiwan","Taiwan Stock Exchange","USD","32.93","TWD","-"
"010950","S-OIL CORP","Energy","Equity","4,063,932.30","0.03","4,063,932.30","90,729.00","44.79","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"028050","SAMSUNG E&A LTD","Industrials","Equity","4,064,365.06","0.03","4,064,365.06","318,561.00","12.76","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"017670","SK TELECOM LTD","Communication","Equity","4,049,478.07","0.03","4,049,478.07","105,988.00","38.21","Korea (South)","Korea Exchange (Stock Market)","USD","1,457.85","KRW","-"
"136","CHINA RUYI HOLDINGS LTD","Communication","Equity","4,016,428.68","0.03","4,016,428.68","13,136,000.00","0.31","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"JFC","JOLLIBEE FOODS CORP","Consumer Discretionary","Equity","4,012,145.17","0.03","4,012,145.17","952,519.00","4.21","Philippines","Philippine Stock Exchange Inc.","USD","58.64","PHP","-"
"3898","ZHUZHOU CRRC TIMES ELECTRIC LTD H","Industrials","Equity","3,995,866.49","0.03","3,995,866.49","1,045,500.00","3.82","China","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"MAXIS","MAXIS","Communication","Equity","3,980,547.71","0.03","3,980,547.71","5,038,300.00","0.79","Malaysia","Bursa Malaysia","USD","4.51","MYR","-"
"THERMAX","THERMAX","Industrials","Equity","3,963,862.69","0.03","3,963,862.69","86,607.00","45.77","India","National Stock Exchange Of India","USD","86.61","INR","-"
